,Tweet,Favourites,Compound,Positive,Neutral,Negative
0,@BDUTT Sweeping statement my dear.. Remember the overwhelming positive response to the badly handled Modi demonetisation drive,0,0.128,0.166,0.691,0.143
1,"Demonetisation led to great movement towards digitisation: @arunjaitley ji
https://t.co/ru3GGHVibW https://t.co/4WxBwrur5H",12,0.6249,0.291,0.709,0.0
2,Financial Express: #GDP slowdown? #India’s oil demand rises most since November’s #demonetisation…… https://t.co/WgbpT7pPVD,0,-0.128,0.0,0.889,0.111
3,"On Digital Mode; #Demonetisation led to great movement towards digitisation, believes ArunJaitley.#TransformingIndia https://t.co/RVbPwrN0RX",0,0.6249,0.255,0.745,0.0
4,"Demonetisation led to 'great movement' towards digitisation: Arun Jaitley
visit:https://t.co/z7ZYtZMvK3 or Missed c… https://t.co/g3CDFkknNc",0,0.4404,0.224,0.656,0.12
5,@PIBPersMin  Navneet after demonetisation lot of income tax raid on powerful corrupt across county pls give wide publicity @DrJitendraSingh,0,0.4767,0.194,0.806,0.0
6,"Cisco witnesses a jump business since the demonetisation move, which made it open its first global digital centre. https://t.co/x2Zf5r6c6M",0,0.0,0.0,1.0,0.0
7,"Demonetisation led to 'great movement' towards digitisation: Arun Jaitley
https://t.co/PFtEuwQNOQ  or Missed Call at 8306308308",0,0.4404,0.212,0.674,0.114
8,"#Demonetization led to 'great movement' towards digitisation: #ArunJaitley
https://t.co/bTH9qtZ9L8 https://t.co/5FMdBgfdW8",0,0.6249,0.313,0.687,0.0
9,"Cases Of Sudden Spike In Income Would Be Identify By I-T Department.
https://t.co/38mqeSXqUe
#Demonetisation #ITDept https://t.co/19B75OZCqf",0,0.0,0.0,1.0,0.0
10,Demonetisation led to movement towards digitisation: Arun Jaitley - https://t.co/7yrYYRP9j2 https://t.co/B1CtlSrxtJ,0,0.0,0.0,1.0,0.0
11,"Demonetisation led to great movement towards digitisation: Arun Jaitley
 https://t.co/MfFEJR7lap https://t.co/L4XaUK7Dn8",0,0.6249,0.291,0.709,0.0
12,"It almost did but thks to #Demonetisation No
#Onlinebanking will kill physical #banks in 5-6 years: #Kant #NitiAyog
https://t.co/5hoGaftRDb",0,-0.8246,0.096,0.57,0.333
13,#Demonetisation led to great movement towards digitisation: Sh @arunjaitley ji https://t.co/fYtVCaAalb,0,0.6249,0.291,0.709,0.0
14,"@AmitTrds @IndiaSpend I pray, no more of #Demonetisation disaster pl @AmitTrds Tks",0,-0.6444,0.136,0.474,0.389
15,@savanisri @mediacrooks @manojkedia07 @INCIndia @ndtv @IndiaToday @TimesNow @republic @BJP4India Agreed.Bt farmers… https://t.co/WJcpEeQQzb,0,0.0,0.0,1.0,0.0
16,The great Economist @sgurumurthy who CORRECTLY predicted in Jan17 that Demonetisation benefits would reach people from April2017.,2,0.7783,0.358,0.642,0.0
17,"Demonetisation led to a 'Substantial Movement' towards Digitisation, says Arun Jaitley https://t.co/TeKw0JUMDF",0,0.2023,0.153,0.847,0.0
18,#GDP slowdown? #India's oil demand rises most since November's #demonetisation https://t.co/Tqbnr8Lp4e,0,-0.128,0.0,0.87,0.13
19,GDP slowdown? India’s oil demand rises most since November’s demonetisation https://t.co/bQFalcXUpX,0,-0.128,0.0,0.87,0.13
20,demonetisation last year has adversely hit the rural and agrarian economy. https://t.co/FrtLxpcEhp,0,-0.2023,0.0,0.859,0.141
